"","X.x","one","participant","three","_","tier_num","tier_name","tier_type","tier_xmin","tier_xmax","xmin","xmax","text","annotation_num","word","rate","gender","X.y","count","count_per_mil","log_freq","duration","length"
"38",3540,"arm","00610","00758947957","TextGrid",1,"ORT-MAU","IntervalTier",0,4.778667,2.636,3.016,"falta",9,"falta",8.7890618869237,"m",42526,6190,148.7980769,3.791760804,0.38,5
"39",3580,"arm","00610","00768981935","TextGrid",1,"ORT-MAU","IntervalTier",0,5.888,0.806,1.166,"contar",5,"contar",10.0203804347826,"m",22217,2624,63.07692308,3.419129308,0.36,6
"40",3605,"arm","00610","00768981935","TextGrid",1,"ORT-MAU","IntervalTier",0,5.888,1.686,2.156,"mañana",10,"mañana",10.0203804347826,"m",58130,26537,637.9086538,4.42386819,0.47,6
"41",3639,"arm","00610","00768981935","TextGrid",1,"ORT-MAU","IntervalTier",0,5.888,3.506,3.816,"mucho",14,"mucho",10.0203804347826,"m",61492,51568,1239.615385,4.71238871,0.31,5
"42",3645,"arm","00610","00768981935","TextGrid",1,"ORT-MAU","IntervalTier",0,5.888,3.816,4.176,"viento",15,"viento",10.0203804347826,"m",93062,1596,38.36538462,3.203304916,0.36,6
"43",3675,"arm","00610","00826566864","TextGrid",1,"ORT-MAU","IntervalTier",0,5.034667,1.356,1.696,"rayas",5,"rayas",4.766948836934,"m",74466,135,3.245192308,2.133538908,0.34,5
"44",3823,"arm","00610","00836503570","TextGrid",1,"ORT-MAU","IntervalTier",0,6.912,1.996,2.246,"todo",7,"todo",8.53587962962963,"m",89015,120738,2902.355769,5.081847575,0.25,4
"45",4157,"arm","00610","00944096074","TextGrid",1,"ORT-MAU","IntervalTier",0,5.205333,1.976,2.206,"esta",9,"esta",6.72387338139558,"m",39520,91528,2200.192308,4.961558718,0.23,4
"46",4287,"arm","00610","00962289604","TextGrid",1,"ORT-MAU","IntervalTier",0,8.533333,1.636,1.806,"Vida",6,"vida",11.953125466919,"m",93003,45942,1104.375,4.66221935,0.17,4
"47",4317,"arm","00610","00962289604","TextGrid",1,"ORT-MAU","IntervalTier",0,8.533333,2.906,3.386,"artículo",11,"artículo",11.953125466919,"m",9335,1364,32.78846154,3.135132651,0.48,8
"48",4375,"arm","00610","00962289604","TextGrid",1,"ORT-MAU","IntervalTier",0,8.533333,5.306,5.666,"mejores",22,"mejores",11.953125466919,"m",59195,4632,111.3461538,3.6658623,0.36,7
"49",4689,"arm","00610","01053605309","TextGrid",1,"ORT-MAU","IntervalTier",0,5.290667,1.966,2.196,"todo",5,"todo",8.69455590382082,"m",89015,120738,2902.355769,5.081847575,0.23,4
"50",4743,"arm","00610","01061689148","TextGrid",1,"ORT-MAU","IntervalTier",0,4.522667,1.166,1.646,"entiendo",4,"entiendo",3.97995253685491,"m",36930,13794,331.5865385,4.139721705,0.48,8
"51",4753,"arm","00610","01061689148","TextGrid",1,"ORT-MAU","IntervalTier",0,4.522667,1.646,2.016,"nada",5,"nada",3.97995253685491,"m",61990,87221,2096.658654,4.940626041,0.37,4
"52",4868,"arm","00610","01069534957","TextGrid",1,"ORT-MAU","IntervalTier",0,5.802667,3.316,3.596,"sala",10,"sala",9.65073473973261,"m",81883,4030,96.875,3.605412798,0.28,4
"53",4997,"arm","00610","01100147988","TextGrid",1,"ORT-MAU","IntervalTier",0,4.608,1.426,1.556,"llegó",4,"llegó",6.51041666666667,"m",56374,5614,134.9519231,3.749349761,0.13,5
"54",5119,"arm","00610","01117239594","TextGrid",1,"ORT-MAU","IntervalTier",0,5.546667,1.886,2.356,"medios",7,"medios",11.5384608450444,"m",59088,1071,25.74519231,3.030194785,0.47,6
"55",5404,"arm","00610","01139917007","TextGrid",1,"ORT-MAU","IntervalTier",0,8.106667,5.116,5.356,"llegues",21,"llegues",10.9786179696292,"m",56380,593,14.25480769,2.773786445,0.24,7
"56",5446,"arm","00610","01152424470","TextGrid",1,"ORT-MAU","IntervalTier",0,3.925333,0.606,0.836,"Cómo",2,"cómo",8.40693006172979,"m",19583,96683,2324.110577,4.98535461,0.23,4
"57",5562,"arm","00610","01181265409","TextGrid",1,"ORT-MAU","IntervalTier",0,5.973333,0.926,1.286,"mandar",5,"mandar",11.2165184830646,"m",57688,669,16.08173077,2.826074803,0.36,6
"58",5759,"arm","00610","01200618779","TextGrid",1,"ORT-MAU","IntervalTier",0,6.741333,3.896,4.426,"desayuno",13,"desayuno",11.570411964518,"m",27772,1775,42.66826923,3.249442961,0.53,8
"59",5829,"arm","00610","01234888164","TextGrid",1,"ORT-MAU","IntervalTier",0,6.314667,2.656,3.036,"huyeron",8,"huyeron",5.54265173444617,"m",48685,130,3.125,2.117271296,0.38,7
"60",6248,"arm","00610","01280596409","TextGrid",1,"ORT-MAU","IntervalTier",0,4.608,2.326,2.496,"lleva",9,"lleva",9.765625,"m",56449,5886,141.4903846,3.769894036,0.17,5
"61",6334,"arm","00610","01297209155","TextGrid",1,"ORT-MAU","IntervalTier",0,7.168,3.256,3.716,"lagunas",12,"lagunas",10.1841517857143,"m",54661,41,0.9855769231,1.62324929,0.46,7
"62",6657,"arm","00610","01360932885","TextGrid",1,"ORT-MAU","IntervalTier",0,4.522667,1.896,2.476,"película",10,"película",9.06544744505841,"m",67005,6385,153.4855769,3.805228914,0.58,8
"63",6670,"arm","00610","01360932885","TextGrid",1,"ORT-MAU","IntervalTier",0,4.522667,2.556,2.796,"tres",12,"tres",9.06544744505841,"m",90741,24142,580.3365385,4.382791234,0.24,4
"64",6676,"arm","00610","01360932885","TextGrid",1,"ORT-MAU","IntervalTier",0,4.522667,2.796,3.156,"veces",13,"veces",9.06544744505841,"m",92141,20358,489.375,4.308756442,0.36,5
"65",6785,"arm","00610","01404558758","TextGrid",1,"ORT-MAU","IntervalTier",0,5.034667,1.036,1.386,"pasar",4,"pasar",9.73252054207359,"m",66152,12927,310.7451923,4.111531343,0.35,5
"66",7041,"arm","00610","01531204415","TextGrid",1,"ORT-MAU","IntervalTier",0,4.096,0.476,0.746,"Cuáles",2,"cuáles",8.30078125,"m",24460,1514,36.39423077,3.180412633,0.27,6
"67",7242,"arm","00610","01573868409","TextGrid",1,"ORT-MAU","IntervalTier",0,7.082667,1.186,1.616,"escuchar",4,"escuchar",10.5892314293472,"m",38649,3686,88.60576923,3.566673138,0.43,8
"68",7539,"arm","00610","01631666883","TextGrid",1,"ORT-MAU","IntervalTier",0,4.522667,1.806,2.186,"pasando",7,"pasando",8.18101354797954,"m",66133,7679,184.5913462,3.88536122,0.38,7
"69",7630,"arm","00610","01674733803","TextGrid",1,"ORT-MAU","IntervalTier",0,4.864,1.336,1.676,"pizza",6,"pizza",8.42927631578947,"m",68965,1554,37.35576923,3.191730393,0.34,5
"70",7636,"arm","00610","01674733803","TextGrid",1,"ORT-MAU","IntervalTier",0,4.864,1.676,1.936,"aunque",7,"aunque",8.42927631578947,"m",11094,10272,246.9230769,4.011697288,0.26,6
"71",7650,"arm","00610","01674733803","TextGrid",1,"ORT-MAU","IntervalTier",0,4.864,2.196,2.686,"diabetes",9,"diabetes",8.42927631578947,"m",30952,180,4.326923077,2.257678575,0.49,8
"72",7670,"arm","00610","01683821098","TextGrid",1,"ORT-MAU","IntervalTier",0,5.461333,0.666,0.956,"acabo",3,"acabo",9.70459043607119,"m",814,5792,139.2307692,3.762903528,0.29,5
"73",7681,"arm","00610","01683821098","TextGrid",1,"ORT-MAU","IntervalTier",0,5.461333,1.016,1.366,"enterar",5,"enterar",9.70459043607119,"m",36841,281,6.754807692,2.450249108,0.35,7
"74",7737,"arm","00610","01683821098","TextGrid",1,"ORT-MAU","IntervalTier",0,5.461333,3.126,3.496,"pizza",14,"pizza",9.70459043607119,"m",68965,1554,37.35576923,3.191730393,0.37,5
"75",7798,"arm","00610","01689731203","TextGrid",1,"ORT-MAU","IntervalTier",0,5.205333,2.406,2.656,"hacer",12,"hacer",9.60553340199369,"m",47083,76037,1827.8125,4.881030685,0.25,5
"76",7831,"arm","00610","01700484250","TextGrid",1,"ORT-MAU","IntervalTier",0,5.12,1.166,1.526,"Dame",2,"dame",6.640625,"m",25276,10232,245.9615385,4.010002974,0.36,4
"77",8041,"arm","00610","01733025750","TextGrid",1,"ORT-MAU","IntervalTier",0,5.205333,1.856,2.096,"tenga",7,"tenga",8.26075872571457,"m",88128,7054,169.5673077,3.848497018,0.24,5
"78",8054,"arm","00610","01733025750","TextGrid",1,"ORT-MAU","IntervalTier",0,5.205333,2.366,2.906,"memoria",9,"memoria",8.26075872571457,"m",59264,2417,58.10096154,3.383456297,0.54,7
"79",8112,"arm","00610","01738209033","TextGrid",1,"ORT-MAU","IntervalTier",0,4.693333,2.316,2.746,"millones",7,"millones",10.6534098475433,"m",60117,5746,138.125,3.759441197,0.43,8
"80",8139,"arm","00610","01766945480","TextGrid",1,"ORT-MAU","IntervalTier",0,4.181333,0.776,1.046,"Quiero",2,"quiero",7.1747454699255,"m",73716,82097,1973.485577,4.914332577,0.27,6
"81",8285,"arm","00610","01808861758","TextGrid",1,"ORT-MAU","IntervalTier",0,5.717333,2.996,3.366,"hacer",11,"hacer",7.17117579122993,"m",47083,76037,1827.8125,4.881030685,0.37,5
"82",8351,"arm","00610","01847362465","TextGrid",1,"ORT-MAU","IntervalTier",0,3.413333,0.516,0.776,"Cómo",2,"cómo",6.44531312942511,"m",19583,96683,2324.110577,4.98535461,0.26,4
"83",8467,"arm","00610","01893698625","TextGrid",1,"ORT-MAU","IntervalTier",0,4.693333,2.296,2.566,"tiempo",10,"tiempo",9.37500066583812,"m",88574,53954,1296.971154,4.732031697,0.27,6
"84",8610,"arm","00610","01914966361","TextGrid",1,"ORT-MAU","IntervalTier",0,5.376,0.936,1.256,"saber",3,"saber",7.62648809523809,"m",81519,20853,501.2740385,4.319189369,0.32,5
"85",8640,"arm","00610","01914966361","TextGrid",1,"ORT-MAU","IntervalTier",0,5.376,2.546,2.816,"tiene",9,"tiene",7.62648809523809,"m",88587,79362,1907.740385,4.899618076,0.27,5
"86",8885,"arm","00610","01946538588","TextGrid",1,"ORT-MAU","IntervalTier",0,6.741333,1.136,1.346,"solo",3,"solo",11.1253961197288,"m",84919,27185,653.4855769,4.434345313,0.21,4
"87",8931,"arm","00610","01946538588","TextGrid",1,"ORT-MAU","IntervalTier",0,6.741333,3.006,3.296,"volver",12,"volver",11.1253961197288,"m",93821,12475,299.8798077,4.096075366,0.29,6
"88",9033,"arm","00610","01946684782","TextGrid",1,"ORT-MAU","IntervalTier",0,4.949333,2.546,2.736,"para",7,"para",8.89008680563623,"m",65603,271407,6524.206731,5.433622645,0.19,4
"89",9039,"arm","00610","01946684782","TextGrid",1,"ORT-MAU","IntervalTier",0,4.949333,2.736,2.926,"estos",8,"estos",8.89008680563623,"m",40055,15246,366.4903846,4.1831844,0.19,5
"90",9101,"arm","00610","01961071869","TextGrid",1,"ORT-MAU","IntervalTier",0,6.314667,3.026,3.536,"difícil",8,"difícil",5.85937469070024,"m",31215,11094,266.6826923,4.045127307,0.51,7
"91",9187,"arm","00610","01971773855","TextGrid",1,"ORT-MAU","IntervalTier",0,6.144,1.356,1.716,"escuela",5,"escuela",11.8815104166667,"m",38717,9779,235.0721154,3.990338855,0.36,7
"92",9315,"arm","00610","01984019622","TextGrid",1,"ORT-MAU","IntervalTier",0,4.352,0.876,1.226,"alegro",3,"alegro",7.12316176470588,"m",4539,2849,68.48557692,3.45484486,0.35,6
"93",9369,"arm","00610","02011489772","TextGrid",1,"ORT-MAU","IntervalTier",0,5.376,0.726,1.206,"buscando",3,"buscando",10.6026785714286,"m",14317,8174,196.4903846,3.912487761,0.48,8
"94",9406,"arm","00610","02011489772","TextGrid",1,"ORT-MAU","IntervalTier",0,5.376,2.276,2.696,"estudiar",9,"estudiar",10.6026785714286,"m",40384,1495,35.9375,3.174931594,0.42,8
"95",9447,"arm","00610","02042663676","TextGrid",1,"ORT-MAU","IntervalTier",0,4.778667,1.016,1.656,"caballo",3,"caballo",4.39453094346185,"m",14450,2586,62.16346154,3.412796429,0.64,7
"96",9524,"arm","00610","02070868237","TextGrid",1,"ORT-MAU","IntervalTier",0,5.034667,2.686,3.096,"demanda",10,"demanda",8.14353759642892,"m",26491,776,18.65384615,2.890421019,0.41,7
"97",9563,"arm","00610","02096044595","TextGrid",1,"ORT-MAU","IntervalTier",0,5.546667,1.776,2.226,"locales",6,"locales",6.31009577463367,"m",56683,651,15.64903846,2.814247596,0.45,7
"98",9612,"arm","00610","02125269550","TextGrid",1,"ORT-MAU","IntervalTier",0,3.84,1.236,1.706,"película",6,"película",7.55208333333333,"m",67005,6385,153.4855769,3.805228914,0.47,8
"99",9685,"arm","00610","02129249798","TextGrid",1,"ORT-MAU","IntervalTier",0,4.437333,2.556,2.926,"barco",11,"barco",7.88762078482728,"m",12348,3535,84.97596154,3.548512256,0.37,5
"100",9854,"arm","01523","00024214392","TextGrid",1,"ORT-MAU","IntervalTier",0,4.181333,1.636,1.896,"Toledo",6,"toledo",10.0446436578957,"m",89031,92,2.211538462,1.968482949,0.26,6
"101",9862,"arm","01523","00024214392","TextGrid",1,"ORT-MAU","IntervalTier",0,4.181333,1.896,2.126,"estudió",7,"estudió",10.0446436578957,"m",40413,212,5.096153846,2.328379603,0.23,7
"102",9893,"arm","01523","00031384578","TextGrid",1,"ORT-MAU","IntervalTier",0,3.413333,1.036,1.406,"ayudas",3,"ayudas",7.32421946525581,"m",11766,15,0.3605769231,1.204119983,0.37,6
"103",9928,"arm","01523","00044278241","TextGrid",1,"ORT-MAU","IntervalTier",0,4.181333,0.886,1.086,"Ahora",2,"ahora",10.0446436578957,"m",3943,96985,2331.370192,4.986709048,0.2,5
"104",10014,"arm","01523","00048727718","TextGrid",1,"ORT-MAU","IntervalTier",0,3.242667,1.246,1.576,"escucha",7,"escucha",11.4103606691652,"m",38619,11644,279.9038462,4.066139493,0.33,7
"105",10208,"arm","01523","00174263527","TextGrid",1,"ORT-MAU","IntervalTier",0,4.608,0.766,1.086,"Sabes",2,"sabes",10.6336805555556,"m",81528,69503,1670.745192,4.842009799,0.32,5
"106",10232,"arm","01523","00174263527","TextGrid",1,"ORT-MAU","IntervalTier",0,4.608,2.016,2.426,"necesito",6,"necesito",10.6336805555556,"m",62283,29265,703.4855769,4.466363368,0.41,8
"107",10285,"arm","01523","00204093027","TextGrid",1,"ORT-MAU","IntervalTier",0,3.242667,0.696,0.916,"Quiero",2,"quiero",9.25164378580964,"m",73716,82097,1973.485577,4.914332577,0.22,6
"108",10292,"arm","01523","00204093027","TextGrid",1,"ORT-MAU","IntervalTier",0,3.242667,0.916,1.316,"comprar",3,"comprar",9.25164378580964,"m",20081,4694,112.8365385,3.671635597,0.4,7
"109",10316,"arm","01523","00204093027","TextGrid",1,"ORT-MAU","IntervalTier",0,3.242667,1.916,2.316,"nuevo",6,"nuevo",9.25164378580964,"m",63074,24349,585.3125,4.386498966,0.4,5
"110",10438,"arm","01523","00230196188","TextGrid",1,"ORT-MAU","IntervalTier",0,3.669333,0.956,1.266,"Sabes",2,"sabes",5.72311098502098,"m",81528,69503,1670.745192,4.842009799,0.31,5
"111",10582,"arm","01523","00259287605","TextGrid",1,"ORT-MAU","IntervalTier",0,4.608,2.026,2.266,"olas",7,"olas",8.46354166666667,"m",64072,609,14.63942308,2.785329835,0.24,4
"112",10647,"arm","01523","00259800785","TextGrid",1,"ORT-MAU","IntervalTier",0,4.266667,1.916,2.176,"pino",7,"pino",9.60937424926764,"m",68682,190,4.567307692,2.281033367,0.26,4
"113",10722,"arm","01523","00265637602","TextGrid",1,"ORT-MAU","IntervalTier",0,3.84,2.206,2.686,"marino",9,"marino",8.59375,"m",58425,261,6.274038462,2.418301291,0.48,6
"114",10740,"arm","01523","00305425974","TextGrid",1,"ORT-MAU","IntervalTier",0,5.205333,0.746,1.076,"dictador",3,"dictador",8.64498006179432,"m",31108,108,2.596153846,2.037426498,0.33,8
"115",10780,"arm","01523","00305425974","TextGrid",1,"ORT-MAU","IntervalTier",0,5.205333,2.116,2.346,"años",9,"años",8.64498006179432,"m",6911,40816,981.1538462,4.610841081,0.23,4
"116",10888,"arm","01523","00319759547","TextGrid",1,"ORT-MAU","IntervalTier",0,4.864,3.096,3.466,"enchufe",9,"enchufe",11.1019736842105,"m",35410,63,1.514423077,1.806179974,0.37,7
"117",10923,"arm","01523","00361877205","TextGrid",1,"ORT-MAU","IntervalTier",0,3.584,1.206,1.706,"película",3,"película",7.53348214285714,"m",67005,6385,153.4855769,3.805228914,0.5,8
"118",10937,"arm","01523","00361877205","TextGrid",1,"ORT-MAU","IntervalTier",0,3.584,1.856,2.046,"llegó",5,"llegó",7.53348214285714,"m",56374,5614,134.9519231,3.749349761,0.19,5
"119",10947,"arm","01523","00361877205","TextGrid",1,"ORT-MAU","IntervalTier",0,3.584,2.116,2.626,"corazón",7,"corazón",7.53348214285714,"m",23206,10517,252.8125,4.021933166,0.51,7
"120",10966,"arm","01523","00372393755","TextGrid",1,"ORT-MAU","IntervalTier",0,3.242667,1.086,1.406,"supo",3,"supo",7.70970315484137,"m",86814,1020,24.51923077,3.009025742,0.32,4
"121",10987,"arm","01523","00372393755","TextGrid",1,"ORT-MAU","IntervalTier",0,3.242667,1.856,2.366,"huellas",6,"huellas",7.70970315484137,"m",48409,2150,51.68269231,3.33264041,0.51,7
"122",11088,"arm","01523","00425054039","TextGrid",1,"ORT-MAU","IntervalTier",0,3.925333,2.706,2.886,"todos",9,"todos",10.6997291694743,"m",89019,67948,1633.365385,4.83218307,0.18,5
"123",11118,"arm","01523","00458716248","TextGrid",1,"ORT-MAU","IntervalTier",0,4.437333,1.246,1.586,"como",4,"como",9.46514494179274,"m",19582,149587,3595.841346,5.174896756,0.34,4
"124",11124,"arm","01523","00458716248","TextGrid",1,"ORT-MAU","IntervalTier",0,4.437333,1.586,1.746,"habla",5,"habla",9.46514494179274,"m",46979,11774,283.0288462,4.070960916,0.16,5
"125",11181,"arm","01523","00465416991","TextGrid",1,"ORT-MAU","IntervalTier",0,3.242667,1.256,1.746,"cocinar",4,"cocinar",8.63486753342233,"m",18589,879,21.12980769,2.944482672,0.49,7
"126",11221,"arm","01523","00480488759","TextGrid",1,"ORT-MAU","IntervalTier",0,4.096,0.766,1.276,"Amazonas",4,"amazonas",10.25390625,"m",5568,182,4.375,2.26245109,0.51,8
"127",11298,"arm","01523","00484004384","TextGrid",1,"ORT-MAU","IntervalTier",0,3.072,1.596,1.946,"animales",6,"animales",10.7421875,"m",6249,2471,59.39903846,3.393048466,0.35,8
"128",11370,"arm","01523","00492283559","TextGrid",1,"ORT-MAU","IntervalTier",0,6.741333,2.906,3.126,"atún",11,"atún",9.49367135550195,"m",10973,377,9.0625,2.5774918,0.22,4
"129",11611,"arm","01523","00568278289","TextGrid",1,"ORT-MAU","IntervalTier",0,3.413333,0.896,1.176,"ayudar",4,"ayudar",11.7187511444093,"m",11736,6932,166.6346154,3.8409212,0.28,6
"130",11636,"arm","01523","00568278289","TextGrid",1,"ORT-MAU","IntervalTier",0,3.413333,1.726,1.966,"tarta",8,"tarta",11.7187511444093,"m",87622,489,11.75480769,2.69019608,0.24,5
"131",11647,"arm","01523","00568278289","TextGrid",1,"ORT-MAU","IntervalTier",0,3.413333,2.066,2.576,"manzana",10,"manzana",11.7187511444093,"m",58123,789,18.96634615,2.897627091,0.51,7
"132",11920,"arm","01523","00641739941","TextGrid",1,"ORT-MAU","IntervalTier",0,4.266667,1.796,2.076,"auto",7,"auto",13.8281239196778,"m",11184,17816,428.2692308,4.25083458,0.28,4
"133",12052,"arm","01523","00709062891","TextGrid",1,"ORT-MAU","IntervalTier",0,5.888,2.516,2.926,"antiguo",7,"antiguo",9.51086956521739,"m",6639,1286,30.91346154,3.109578547,0.41,7
"134",12096,"arm","01523","00709062891","TextGrid",1,"ORT-MAU","IntervalTier",0,5.888,4.236,4.646,"Hawai",15,"hawai",9.51086956521739,"m",47358,430,10.33653846,2.63447727,0.41,5
